Age,Age_Group,Attriation_Num,Attrition,Attrition Status,Attrition_Flag,BusinessTravel,Current_Role_Tenure_Band,DailyRate,Department,dept,Distance_Band,DistanceFromHome,Education,Education_Label,EducationField,EmpID,Env_Sat_lable,EnvironmentSatisfaction,Experience_Band,Gender,HourlyRate,Income_Band,Job_Involve_lable,Job_Sat_lable,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Overtime Custom,OverTime_Flag,PercentSalaryHike,PerformanceRating,Previous_Employers_Band,Promotion Band new,Sum of Promotion Band Sort,Promotion_Gap_Band,Relationship_Sat_lable,RelationshipSatisfaction,Salary_Hike_Band,StockOptionLevel,Tenure_Band,Total Working Experience Band,TrainingTimesLastYear,TotalWorkingYears,W_L_Balance_lable,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26,25-34,1,Yes,Left,1,Travel_Rarely,0-2 Years,1357,Research & Development,R & D,21+,25,3,Bachelor,Life Sciences,EMP-55,Low,1,0-5 Years,Male,48,$0-$3000,Low,High,1,1,Laboratory Technician,3,Single,2293,10558,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,2,1,Medium,2,1,0,0,1
26,25-34,1,Yes,Left,1,Travel_Rarely,0-2 Years,1449,Research & Development,R & D,11-20,16,4,Master,Medical,EMP-394,Low,1,0-5 Years,Male,45,$0-$3000,High,Medium,3,1,Laboratory Technician,2,Divorced,2373,14180,2,Yes,Overtime,1,13,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,2-5 Years,0–5 Years,2,5,High,3,3,2,0,2
26,25-34,1,Yes,Left,1,Travel_Rarely,3-5 Years,1146,Sales,Sales,6-10,8,3,Bachelor,Technical Degree,EMP-796,Very High,4,6-10 Years,Male,38,$5000-$7000,Medium,Low,2,2,Sales Executive,1,Single,5326,3064,6,No,Standard,0,17,3,9+,0-1 Years,1,0-2 Years,High,3,16-20%,0,2-5 Years,6–10 Years,2,6,Medium,2,4,3,1,2
26,25-34,1,Yes,Left,1,Travel_Rarely,6-10 Years,950,Sales,Sales,0-5,4,4,Master,Marketing,EMP-401,Very High,4,6-10 Years,Male,48,$5000-$7000,Medium,Very High,2,2,Sales Executive,4,Single,5828,8450,1,Yes,Overtime,1,12,3,1-2,6+ Years,4,6+ Years,Medium,2,11-15%,0,6-10 Years,6–10 Years,0,8,High,3,8,7,7,4
27,25-34,0,No,Active,0,Non-Travel,0-2 Years,443,Research & Development,R & D,0-5,3,3,Bachelor,Medical,EMP-850,Very High,4,0-5 Years,Male,50,$0-$3000,High,Very High,3,1,Research Scientist,4,Married,1706,16571,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,3,0-1 Years,0–5 Years,6,0,Medium,2,0,0,0,0
27,25-34,0,No,Active,0,Non-Travel,0-2 Years,691,Research & Development,R & D,6-10,9,3,Bachelor,Medical,EMP-218,Very High,4,6-10 Years,Male,57,$0-$3000,High,Medium,3,1,Research Scientist,2,Divorced,2024,5970,6,No,Standard,0,18,3,9+,2–3 Years,2,0-2 Years,Very High,4,16-20%,1,2-5 Years,6–10 Years,1,6,Low,1,2,2,2,2
27,25-34,0,No,Active,0,Non-Travel,0-2 Years,1277,Research & Development,R & D,6-10,8,5,Doctor,Life Sciences,EMP-1094,Low,1,0-5 Years,Male,87,$3000-$5000,Low,High,1,1,Laboratory Technician,3,Married,4621,5869,1,No,Standard,0,19,3,1-2,0-1 Years,1,0-2 Years,Very High,4,16-20%,3,2-5 Years,0–5 Years,4,3,High,3,3,2,1,2
27,25-34,0,No,Active,0,Non-Travel,0-2 Years,1450,Research & Development,R & D,0-5,3,3,Bachelor,Medical,EMP-224,High,3,0-5 Years,Male,79,$0-$3000,Medium,High,2,1,Research Scientist,3,Divorced,2566,25326,1,Yes,Overtime,1,15,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,0-1 Years,0–5 Years,2,1,Medium,2,1,1,0,1
27,25-34,0,No,Active,0,Non-Travel,3-5 Years,210,Sales,Sales,0-5,1,1,Below College,Marketing,EMP-449,High,3,6-10 Years,Male,73,$5000-$7000,High,Medium,3,2,Sales Executive,2,Married,6349,22107,0,Yes,Overtime,1,13,3,0,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,2-5 Years,6–10 Years,0,6,High,3,5,4,1,4
27,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,472,Research & Development,R & D,0-5,1,1,Below College,Technical Degree,EMP-274,High,3,6-10 Years,Male,60,$3000-$5000,Medium,Low,2,2,Manufacturing Director,1,Married,4298,9679,5,No,Standard,0,19,3,9+,2–3 Years,2,0-2 Years,High,3,16-20%,1,2-5 Years,6–10 Years,1,6,High,3,2,2,2,0
27,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,591,Research & Development,R & D,0-5,2,3,Bachelor,Medical,EMP-1648,Very High,4,6-10 Years,Male,87,$0-$3000,High,Very High,3,1,Research Scientist,4,Single,2580,6297,2,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,6–10 Years,0,6,Medium,2,4,2,1,2
27,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,793,Sales,Sales,0-5,2,1,Below College,Life Sciences,EMP-1371,Very High,4,6-10 Years,Male,43,$5000-$7000,Low,Very High,1,2,Sales Executive,4,Single,5071,20392,3,No,Standard,0,20,4,9+,0-1 Years,1,0-2 Years,Medium,2,16-20%,0,6-10 Years,6–10 Years,3,8,High,3,6,2,0,0
27,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,829,Sales,Sales,6-10,8,1,Below College,Marketing,EMP-800,High,3,0-5 Years,Male,84,$3000-$5000,High,Very High,3,2,Sales Executive,4,Married,4342,24008,0,No,Standard,0,19,3,0,0-1 Years,1,0-2 Years,Medium,2,16-20%,1,2-5 Years,0–5 Years,3,5,High,3,4,2,1,1
27,25-34,0,No,Active,0,Travel_Frequently,3-5 Years,1297,Research & Development,R & D,0-5,5,2,College,Life Sciences,EMP-1850,Very High,4,6-10 Years,Female,53,$0-$3000,High,Very High,3,1,Laboratory Technician,4,Single,2379,19826,0,Yes,Overtime,1,14,3,0,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,6–10 Years,3,6,Medium,2,5,4,0,2
27,25-34,0,No,Active,0,Travel_Frequently,3-5 Years,1410,Sales,Sales,0-5,3,1,Below College,Medical,EMP-714,Very High,4,6-10 Years,Female,71,$3000-$5000,Very High,Very High,4,2,Sales Executive,4,Divorced,4647,16673,1,Yes,Overtime,1,20,4,1-2,0-1 Years,1,0-2 Years,Medium,2,16-20%,2,6-10 Years,6–10 Years,3,6,High,3,6,5,0,4
27,25-34,0,No,Active,0,Travel_Frequently,6-10 Years,294,Research & Development,R & D,6-10,10,2,College,Life Sciences,EMP-733,Very High,4,6-10 Years,Male,32,$7000-$10000,High,Low,3,3,Manufacturing Director,1,Divorced,8793,4809,1,No,Standard,0,21,4,1-2,0-1 Years,1,0-2 Years,High,3,21%+,2,6-10 Years,6–10 Years,4,9,Medium,2,9,7,1,7
27,25-34,0,No,Active,0,Travel_Frequently,6-10 Years,994,Sales,Sales,6-10,8,3,Bachelor,Life Sciences,EMP-56,Very High,4,6-10 Years,Male,37,$7000-$10000,High,High,3,3,Sales Executive,3,Single,8726,2975,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,6-10 Years,6–10 Years,0,9,High,3,9,8,1,7
27,25-34,0,No,Active,0,Travel_Frequently,6-10 Years,1131,Research & Development,R & D,11-20,15,3,Bachelor,Life Sciences,EMP-1870,Very High,4,6-10 Years,Female,77,$3000-$5000,Medium,Low,2,1,Research Scientist,1,Married,4774,23844,0,No,Standard,0,19,3,0,6+ Years,4,6+ Years,Very High,4,16-20%,1,6-10 Years,6–10 Years,2,8,Medium,2,7,6,7,3
27,25-34,0,No,Active,0,Travel_Frequently,6-10 Years,1242,Sales,Sales,11-20,20,3,Bachelor,Life Sciences,EMP-293,Very High,4,6-10 Years,Female,90,$7000-$10000,High,High,3,2,Sales Executive,3,Single,9981,12916,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,6-10 Years,6–10 Years,2,7,High,3,7,7,0,7
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,155,Research & Development,R & D,0-5,4,3,Bachelor,Life Sciences,EMP-2064,Medium,2,6-10 Years,Male,87,$5000-$7000,Very High,Medium,4,2,Manufacturing Director,2,Married,6142,5174,1,Yes,Overtime,1,20,4,1-2,0-1 Years,1,0-2 Years,Medium,2,16-20%,1,6-10 Years,6–10 Years,0,6,High,3,6,2,0,3
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,199,Research & Development,R & D,6-10,6,3,Bachelor,Life Sciences,EMP-1162,Very High,4,0-5 Years,Male,55,$0-$3000,Medium,High,2,1,Research Scientist,3,Married,2539,7950,1,No,Standard,0,13,3,1-2,2–3 Years,2,0-2 Years,High,3,11-15%,1,2-5 Years,0–5 Years,0,4,High,3,4,2,2,2
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,205,Sales,Sales,6-10,10,3,Bachelor,Marketing,EMP-1403,Very High,4,6-10 Years,Female,98,$5000-$7000,Medium,Very High,2,2,Sales Executive,4,Married,5769,7100,1,Yes,Overtime,1,11,3,1-2,4–5 Years,3,3-5 Years,Very High,4,11-15%,0,6-10 Years,6–10 Years,3,6,High,3,6,2,4,4
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,486,Research & Development,R & D,6-10,8,3,Bachelor,Medical,EMP-1647,Medium,2,0-5 Years,Female,86,$3000-$5000,Very High,High,4,1,Research Scientist,3,Married,3517,22490,7,No,Standard,0,17,3,9+,0-1 Years,1,0-2 Years,Low,1,16-20%,0,2-5 Years,0–5 Years,0,5,High,3,3,2,0,2
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,591,Research & Development,R & D,0-5,2,1,Below College,Medical,EMP-7,Low,1,6-10 Years,Male,40,$3000-$5000,High,Medium,3,1,Laboratory Technician,2,Married,3468,16632,9,No,Standard,0,12,3,9+,2–3 Years,2,0-2 Years,Very High,4,11-15%,1,2-5 Years,6–10 Years,3,6,High,3,2,2,2,2
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,618,Research & Development,R & D,0-5,4,3,Bachelor,Life Sciences,EMP-933,Medium,2,0-5 Years,Female,76,$0-$3000,High,High,3,1,Research Scientist,3,Single,2318,17808,1,No,Standard,0,19,3,1-2,0-1 Years,1,0-2 Years,High,3,16-20%,0,0-1 Years,0–5 Years,2,1,High,3,1,1,0,0
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1054,Research & Development,R & D,6-10,8,3,Bachelor,Medical,EMP-1751,High,3,6-10 Years,Female,67,$3000-$5000,High,Very High,3,1,Research Scientist,4,Single,3445,6152,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,6-10 Years,6–10 Years,5,6,Medium,2,6,2,1,4
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1055,Research & Development,R & D,0-5,2,4,Master,Life Sciences,EMP-1027,Low,1,0-5 Years,Female,47,$3000-$5000,High,Very High,3,2,Manufacturing Director,4,Married,4227,4658,0,No,Standard,0,18,3,0,2–3 Years,2,0-2 Years,Medium,2,16-20%,1,2-5 Years,0–5 Years,2,4,High,3,3,2,2,2
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1115,Research & Development,R & D,0-5,3,4,Master,Medical,EMP-700,Low,1,0-5 Years,Male,54,$0-$3000,Medium,Very High,2,1,Research Scientist,4,Single,2045,15174,0,No,Standard,0,13,3,0,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,2-5 Years,0–5 Years,0,5,High,3,4,2,1,1
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1134,Research & Development,R & D,11-20,16,4,Master,Technical Degree,EMP-1001,High,3,0-5 Years,Female,37,$0-$3000,High,Medium,3,1,Laboratory Technician,2,Married,2811,12086,9,No,Standard,0,14,3,9+,2–3 Years,2,0-2 Years,Medium,2,11-15%,1,2-5 Years,0–5 Years,2,4,High,3,2,2,2,2
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1157,Research & Development,R & D,11-20,17,3,Bachelor,Technical Degree,EMP-233,High,3,6-10 Years,Male,51,$3000-$5000,High,Medium,3,1,Research Scientist,2,Married,3058,13364,0,Yes,Overtime,1,16,3,0,0-1 Years,1,0-2 Years,Very High,4,16-20%,1,2-5 Years,6–10 Years,3,6,Medium,2,5,2,1,1
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1240,Research & Development,R & D,0-5,2,4,Master,Life Sciences,EMP-54,Very High,4,0-5 Years,Female,33,$0-$3000,High,Low,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,0-1 Years,0–5 Years,6,1,High,3,1,0,0,0
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1291,Sales,Sales,11-20,11,3,Bachelor,Medical,EMP-1364,High,3,0-5 Years,Female,98,$0-$3000,Very High,Very High,4,1,Sales Representative,4,Married,2534,6527,8,No,Standard,0,14,3,9+,0-1 Years,1,0-2 Years,Medium,2,11-15%,1,0-1 Years,0–5 Years,4,5,High,3,1,0,0,0
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1377,Research & Development,R & D,11-20,11,1,Below College,Life Sciences,EMP-1434,Medium,2,6-10 Years,Male,91,$0-$3000,High,Low,3,1,Laboratory Technician,1,Married,2099,7679,0,No,Standard,0,14,3,0,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,6–10 Years,3,6,Very High,4,5,0,1,4
27,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1469,Research & Development,R & D,0-5,1,2,College,Medical,EMP-497,Very High,4,0-5 Years,Male,82,$3000-$5000,High,Medium,3,1,Laboratory Technician,2,Divorced,3816,17881,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,1,2-5 Years,0–5 Years,2,5,High,3,5,2,0,4
27,25-34,0,No,Active,0,Travel_Rarely,3-5 Years,798,Research & Development,R & D,6-10,6,4,Master,Medical,EMP-655,Low,1,6-10 Years,Female,66,$0-$3000,Medium,High,2,1,Research Scientist,3,Divorced,2187,5013,0,No,Standard,0,12,3,0,0-1 Years,1,0-2 Years,High,3,11-15%,2,2-5 Years,6–10 Years,5,6,Medium,2,5,3,0,3
27,25-34,0,No,Active,0,Travel_Rarely,3-5 Years,1167,Research & Development,R & D,0-5,4,2,College,Life Sciences,EMP-1259,Low,1,0-5 Years,Male,76,$0-$3000,High,High,3,1,Research Scientist,3,Divorced,2517,3208,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,3,2-5 Years,0–5 Years,2,5,High,3,5,3,0,3
27,25-34,0,No,Active,0,Travel_Rarely,3-5 Years,1220,Research & Development,R & D,0-5,5,3,Bachelor,Life Sciences,EMP-434,High,3,0-5 Years,Female,85,$0-$3000,High,Medium,3,1,Research Scientist,2,Single,2478,20938,1,Yes,Overtime,1,12,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,2,4,Medium,2,4,3,1,2
27,25-34,0,No,Active,0,Travel_Rarely,3-5 Years,1354,Research & Development,R & D,0-5,2,4,Master,Technical Degree,EMP-1931,Medium,2,6-10 Years,Male,41,$0-$3000,High,Medium,3,1,Research Scientist,2,Married,2226,6073,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,1,2-5 Years,6–10 Years,3,6,Medium,2,5,3,1,2
27,25-34,0,No,Active,0,Travel_Rarely,3-5 Years,1377,Sales,Sales,0-5,2,3,Bachelor,Life Sciences,EMP-437,Very High,4,0-5 Years,Male,74,$3000-$5000,High,High,3,2,Sales Executive,3,Single,4478,5242,1,Yes,Overtime,1,11,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,2-5 Years,0–5 Years,3,5,High,3,5,4,0,4
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,269,Research & Development,R & D,0-5,5,1,Below College,Technical Degree,EMP-844,High,3,6-10 Years,Male,42,$10000-$15000,Medium,Very High,2,3,Research Director,4,Divorced,12808,8842,1,Yes,Overtime,1,16,3,1-2,0-1 Years,1,0-2 Years,Medium,2,16-20%,1,6-10 Years,6–10 Years,3,9,High,3,9,8,0,8
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,511,Sales,Sales,0-5,2,2,College,Medical,EMP-1898,Low,1,6-10 Years,Female,89,$5000-$7000,Very High,High,4,2,Sales Executive,3,Single,6500,26997,0,No,Standard,0,14,3,0,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,6-10 Years,6–10 Years,5,9,Medium,2,8,7,0,7
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,608,Research & Development,R & D,0-5,1,2,College,Life Sciences,EMP-725,High,3,6-10 Years,Female,68,$7000-$10000,High,Low,3,3,Manufacturing Director,1,Married,7412,6009,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,6-10 Years,6–10 Years,3,9,High,3,9,7,0,7
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,728,Sales,Sales,21+,23,1,Below College,Medical,EMP-1864,Medium,2,6-10 Years,Female,36,$3000-$5000,Medium,High,2,2,Sales Representative,3,Married,3540,7018,1,No,Standard,0,21,4,1-2,4–5 Years,3,3-5 Years,Very High,4,21%+,1,6-10 Years,6–10 Years,5,9,High,3,9,8,5,8
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,894,Research & Development,R & D,6-10,9,3,Bachelor,Medical,EMP-260,Very High,4,6-10 Years,Female,99,$0-$3000,High,Medium,3,1,Research Scientist,2,Single,2279,11781,1,No,Standard,0,16,3,1-2,0-1 Years,1,0-2 Years,Very High,4,16-20%,0,6-10 Years,6–10 Years,2,7,Medium,2,7,7,0,3
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,954,Sales,Sales,6-10,9,3,Bachelor,Marketing,EMP-1965,Very High,4,6-10 Years,Male,44,$3000-$5000,High,Very High,3,2,Sales Executive,4,Single,4105,5099,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,6-10 Years,6–10 Years,5,7,High,3,7,7,0,7
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,975,Research & Development,R & D,6-10,7,3,Bachelor,Medical,EMP-764,Very High,4,6-10 Years,Female,55,$5000-$7000,Medium,Low,2,2,Healthcare Representative,1,Single,6811,23398,8,No,Standard,0,19,3,9+,0-1 Years,1,0-2 Years,Low,1,16-20%,0,6-10 Years,6–10 Years,2,9,Low,1,7,6,0,7
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,1103,Research & Development,R & D,11-20,14,3,Bachelor,Life Sciences,EMP-1244,Low,1,6-10 Years,Male,42,$0-$3000,High,Low,3,1,Research Scientist,1,Married,2235,14377,1,Yes,Overtime,1,14,3,1-2,6+ Years,4,6+ Years,Very High,4,11-15%,2,6-10 Years,6–10 Years,3,9,Medium,2,9,7,6,8
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,1130,Sales,Sales,6-10,8,4,Master,Marketing,EMP-458,Medium,2,6-10 Years,Female,56,$5000-$7000,High,Medium,3,2,Sales Executive,2,Married,6214,3415,1,No,Standard,0,18,3,1-2,0-1 Years,1,0-2 Years,Low,1,16-20%,1,6-10 Years,6–10 Years,3,8,High,3,8,7,0,7
27,25-34,0,No,Active,0,Travel_Rarely,6-10 Years,1302,Research & Development,R & D,11-20,19,3,Bachelor,Other,EMP-1619,Very High,4,6-10 Years,Male,67,$3000-$5000,Medium,Low,2,1,Laboratory Technician,1,Divorced,4066,16290,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,2,6-10 Years,6–10 Years,3,7,High,3,7,7,0,7
27,25-34,1,Yes,Left,1,Travel_Frequently,0-2 Years,1337,Human Resources,HR,21+,22,3,Bachelor,Human Resources,EMP-1944,Low,1,0-5 Years,Female,58,$0-$3000,Medium,Medium,2,1,Human Resources,2,Married,2863,19555,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,0-1 Years,0–5 Years,2,1,High,3,1,0,0,0
27,25-34,1,Yes,Left,1,Travel_Rarely,0-2 Years,135,Research & Development,R & D,11-20,17,4,Master,Life Sciences,EMP-1405,Very High,4,6-10 Years,Female,51,$0-$3000,High,High,3,1,Research Scientist,3,Single,2394,25681,1,Yes,Overtime,1,13,3,1-2,6+ Years,4,6+ Years,Very High,4,11-15%,0,6-10 Years,6–10 Years,2,8,High,3,8,2,7,7
27,25-34,1,Yes,Left,1,Travel_Rarely,3-5 Years,1420,Sales,Sales,0-5,2,1,Below College,Marketing,EMP-667,High,3,0-5 Years,Male,85,$3000-$5000,High,Low,3,1,Sales Representative,1,Divorced,3041,16346,0,No,Standard,0,11,3,0,0-1 Years,1,0-2 Years,Medium,2,11-15%,1,2-5 Years,0–5 Years,3,5,High,3,4,3,0,2
28,25-34,0,No,Active,0,Non-Travel,0-2 Years,280,Human Resources,HR,0-5,1,2,College,Life Sciences,EMP-1858,High,3,0-5 Years,Male,43,$0-$3000,High,Very High,3,1,Human Resources,4,Divorced,2706,10494,1,No,Standard,0,15,3,1-2,2–3 Years,2,0-2 Years,Medium,2,11-15%,1,2-5 Years,0–5 Years,2,3,High,3,3,2,2,2
28,25-34,0,No,Active,0,Non-Travel,3-5 Years,120,Sales,Sales,0-5,4,3,Bachelor,Medical,EMP-129,Medium,2,0-5 Years,Male,43,$3000-$5000,High,High,3,2,Sales Executive,3,Married,4221,8863,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,3,5,Very High,4,5,4,0,4
28,25-34,0,No,Active,0,Non-Travel,3-5 Years,1103,Research & Development,R & D,11-20,16,3,Bachelor,Medical,EMP-1947,High,3,0-5 Years,Male,49,$0-$3000,High,High,3,1,Research Scientist,3,Single,2144,2122,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,3,5,Medium,2,5,3,1,4
28,25-34,0,No,Active,0,Non-Travel,6-10 Years,1476,Research & Development,R & D,0-5,1,3,Bachelor,Life Sciences,EMP-1315,High,3,6-10 Years,Female,55,$5000-$7000,Low,Very High,1,2,Laboratory Technician,4,Married,6674,16392,0,No,Standard,0,11,3,0,6+ Years,4,6+ Years,Low,1,11-15%,3,6-10 Years,6–10 Years,6,10,High,3,9,8,7,5
28,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,193,Research & Development,R & D,0-5,2,3,Bachelor,Life Sciences,EMP-1296,Very High,4,0-5 Years,Male,52,$3000-$5000,Medium,Very High,2,1,Laboratory Technician,4,Married,3867,14222,1,Yes,Overtime,1,12,3,1-2,2–3 Years,2,0-2 Years,Medium,2,11-15%,1,2-5 Years,0–5 Years,2,2,High,3,2,2,2,2
28,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,467,Sales,Sales,6-10,7,3,Bachelor,Life Sciences,EMP-1507,High,3,0-5 Years,Male,55,$3000-$5000,High,Low,3,2,Sales Executive,1,Single,4898,11827,0,No,Standard,0,14,3,0,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,2-5 Years,0–5 Years,5,5,High,3,4,2,1,3
28,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,773,Research & Development,R & D,6-10,6,3,Bachelor,Life Sciences,EMP-1154,High,3,0-5 Years,Male,39,$0-$3000,Medium,High,2,1,Research Scientist,3,Divorced,2703,22088,1,Yes,Overtime,1,14,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,2-5 Years,0–5 Years,2,3,High,3,3,1,0,2
28,25-34,0,No,Active,0,Travel_Frequently,0-2 Years,791,Research & Development,R & D,0-5,1,4,Master,Medical,EMP-1286,Very High,4,0-5 Years,Male,44,$0-$3000,High,High,3,1,Laboratory Technician,3,Single,2154,6842,0,Yes,Overtime,1,11,3,0,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,2,5,Medium,2,4,2,0,2
28,25-34,0,No,Active,0,Travel_Frequently,6-10 Years,783,Sales,Sales,0-5,1,2,College,Life Sciences,EMP-1927,High,3,6-10 Years,Male,42,$5000-$7000,Medium,Very High,2,2,Sales Executive,4,Married,6834,19255,1,Yes,Overtime,1,12,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,1,6-10 Years,6–10 Years,2,7,High,3,7,7,0,7
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,440,Research & Development,R & D,21+,21,3,Bachelor,Medical,EMP-221,High,3,0-5 Years,Male,42,$0-$3000,High,Very High,3,1,Research Scientist,4,Married,2713,6672,1,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,1,2-5 Years,0–5 Years,2,5,Low,1,5,2,0,2
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,640,Research & Development,R & D,0-5,1,3,Bachelor,Technical Degree,EMP-1301,Very High,4,0-5 Years,Male,84,$0-$3000,High,Low,3,1,Research Scientist,1,Single,2080,4732,2,No,Standard,0,11,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,2,5,Medium,2,3,2,1,2
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,821,Sales,Sales,0-5,5,4,Master,Medical,EMP-916,Low,1,0-5 Years,Male,98,$3000-$5000,High,Very High,3,2,Sales Executive,4,Single,4908,24252,1,No,Standard,0,14,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,3,4,High,3,4,2,0,2
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,895,Research & Development,R & D,11-20,15,2,College,Life Sciences,EMP-1102,Low,1,0-5 Years,Male,50,$0-$3000,High,High,3,1,Laboratory Technician,3,Divorced,2207,22482,1,No,Standard,0,16,3,1-2,2–3 Years,2,0-2 Years,Very High,4,16-20%,1,2-5 Years,0–5 Years,5,4,Medium,2,4,2,2,2
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,995,Research & Development,R & D,6-10,9,3,Bachelor,Medical,EMP-930,High,3,6-10 Years,Female,77,$0-$3000,High,High,3,1,Research Scientist,3,Divorced,2377,9834,5,No,Standard,0,18,3,9+,2–3 Years,2,0-2 Years,Medium,2,16-20%,1,2-5 Years,6–10 Years,2,6,High,3,2,2,2,2
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1144,Sales,Sales,6-10,10,1,Below College,Medical,EMP-1056,Very High,4,0-5 Years,Male,74,$0-$3000,High,Medium,3,1,Sales Representative,2,Married,1052,23384,1,No,Standard,0,22,4,1-2,0-1 Years,1,0-2 Years,Medium,2,21%+,0,0-1 Years,0–5 Years,5,1,High,3,1,0,0,0
28,25-34,0,No,Active,0,Travel_Rarely,0-2 Years,1158,Research & Development,R & D,6-10,9,3,Bachelor,Medical,EMP-377,Very High,4,0-5 Years,Male,94,$0-$3000,High,Very High,3,1,Research Scientist,4,Married,2070,2613,1,No,Standard,0,23,4,1-2,0-1 Years,1,0-2 Years,Very High,4,21%+,1,2-5 Years,0–5 Years,3,5,Medium,2,5,2,0,4
